id,file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,SentimentScore,slideScofre,POMSScore,activation,reward,slideUPDOWN
13,./voice\morry_bk\condition4\c21.wav,0 days,0 days 00:00:12,28.437216,0.36817202,22.217985,24.219316,31.378614,9.160629,532.73517,485.00598,121.97731,131.70932,0.6607657,1.0642678,0.089742914,0.40184966,1.1263742,1.0366313,12.830494,8.059566,10.377109,8.900856,0.5165713,1.2240372,22.290758,1.1034424,5.4269624,2.9653475,11.678194,1.995815,-7.5050497,-2.7533593,0.04818389,1.6172693,1.7181442,0.7587966,1.6985602,3.068684,3.7060242,2.8098764,26.373442,0.8747979,597.66144,0.55534637,1227.6078,0.26029983,-81.8398,-1.1217936,1611.699,0.24349709,918.7737,0.35801667,-84.288925,-1.0264966,2772.5134,0.12494544,900.4724,0.45440194,-89.521614,-0.9230852,-11.579382,-1.4919689,25.46541,0.7584078,0.019410662,1.8471291,-0.023849571,-0.98966515,0.776089,0.8389284,30.771955,0.8454515,8.033915,2.2251537,15.986277,1.7018133,-13.763306,-1.606207,-5.3612146,14.773525,-0.006486093,0.000153695,0.056076206,2.9190993,1.927913,0.3217391,0.30604988,0.25125,0.23971009,-24.915648,-0.600000024,8,0,1,1,0
13,./voice\morry_bk\condition3\c02.wav,0 days,0 days 00:00:11,30.407797,0.4249246,22.105103,24.698318,43.533154,21.428051,563.7685,705.5362,247.42598,343.57855,0.677006,1.0156492,0.07863246,0.42828333,1.244021,1.1653886,20.603811,16.898079,10.027487,7.820277,0.58662736,1.0481588,20.859703,1.3103263,12.360447,1.2394706,13.578278,1.5065974,-2.862632,-6.745373,0.053344194,1.8308328,1.7723237,0.67206323,1.1304821,4.528888,0.16646883,92.024956,23.41525,1.1872861,656.3429,0.5137775,1183.9484,0.28813797,-71.22589,-1.1918411,1737.8102,0.23497207,982.1255,0.3377308,-74.31517,-1.0458188,2818.7656,0.13058779,956.486,0.3614094,-76.00174,-1.0069383,-14.776054,-1.5025072,25.459002,0.9071382,0.01276777,3.3035662,-0.025742989,-1.0861418,0.78856564,0.7731883,24.612974,1.2404724,15.765868,1.0264429,16.168772,1.4026595,-6.183345,-3.2297323,-8.127709,18.303854,-0.015171862,0.000206168,0.09137665,3.366697,2.1957915,0.32041666,0.3057842,0.13190477,0.1415768,-25.499249,0.200000003,6,1,1,0,-1
13,./voice\morry_bk\condition2\c13.wav,0 days,0 days 00:00:11,30.26124,0.41789764,22.775284,25.477274,29.244907,6.4696236,797.832,895.1854,116.03813,93.75992,0.5573815,0.99377894,0.08581118,0.35454985,0.99122894,0.90541774,12.616896,10.562105,8.880052,6.8336205,0.414383,1.091692,19.147486,1.3188251,7.0563874,2.209554,17.902815,1.3910397,-5.2302785,-3.4367607,0.038380615,1.9897683,1.6333237,0.639746,1.7367783,3.0751204,4.790155,2.9420314,23.52449,1.0824615,596.34686,0.4510659,1168.6178,0.27745435,-91.931786,-0.98464495,1683.9781,0.23065272,936.6957,0.39966533,-91.91998,-0.9174185,2743.9062,0.13779752,931.75665,0.47054753,-91.86632,-0.9103887,-12.086695,-1.6103156,21.815477,1.0255842,0.011203557,2.7036707,-0.027029075,-0.86817676,0.634614,0.6930222,26.238535,1.0768522,11.192619,1.5270425,26.110182,1.0514636,-11.024675,-1.6333085,-4.9793434,15.357503,-0.011994895,0.002492581,0.059682827,2.365787,2.0128088,0.29999998,0.29887667,0.20421052,0.26216337,-27.199917,-0.100000001,6,1,0,1,0
13,./voice\morry_bk\condition1\c12.wav,0 days,0 days 00:00:12,29.4916,0.3615552,22.702625,26.550495,30.821774,8.119148,766.5703,1277.406,140.23102,219.43085,0.62187165,0.8028399,0.13744561,0.5078395,1.0284356,0.89098996,13.633646,10.793218,8.5231695,6.6027246,0.41432795,0.9761488,23.85652,1.1207621,10.577262,1.3897594,14.870867,1.501637,-4.470529,-4.2025495,0.033589046,1.6276913,1.4945989,0.7741555,3.1661422,1.6489627,4.077163,2.4591055,27.328894,0.8124021,626.0386,0.45337278,1173.8295,0.27852145,-72.86791,-1.1768664,1677.3021,0.21767381,969.68933,0.38115668,-79.03684,-0.98245364,2782.0051,0.12964018,931.48987,0.40340033,-81.20376,-0.92855483,-16.219309,-1.1041981,26.62575,0.73686266,0.021699335,1.722485,-0.0317802,-0.8267903,0.5218171,0.7301793,31.250952,0.8454646,13.361043,1.1063437,18.884123,1.2838877,-7.6369753,-2.6547923,-3.100195,11.553702,-0.001827474,-0.001135652,0.15378134,3.2527106,2.0955575,0.32599998,0.22638021,0.16842106,0.19123596,-27.499994,0.200000003,6,0,0,0,0
13,./voice\morry_bk\condition1\c15.wav,0 days,0 days 00:00:11,28.689327,0.4006058,22.088797,24.708717,27.857733,5.768936,1164.9535,1463.3635,134.84518,103.46987,0.51535225,0.89220583,0.10943511,0.31956667,0.9272398,0.8178047,8.592978,5.731463,7.5984626,5.0625315,0.33017677,1.046762,18.244642,1.3429284,6.84134,2.1195366,11.13607,1.8566206,-5.1089883,-4.0722523,0.031053089,1.4408536,1.6449378,0.61412555,1.5779463,2.753471,6.133589,1.8900188,22.166334,1.0164274,619.93567,0.5041283,1187.555,0.264095,-90.30793,-0.9905278,1647.8685,0.24671917,933.62305,0.33673954,-90.10154,-0.9496243,2763.0137,0.13590384,894.79736,0.33896014,-92.393715,-0.9045463,-11.604348,-1.5504149,21.570885,0.9602527,0.003020858,12.534377,-0.026180398,-0.9163959,0.48347974,0.7099516,25.793991,1.0340025,9.527587,1.5916764,17.586037,1.3204385,-9.176313,-2.5754952,-1.867025,10.462677,-0.002211019,0.000102789,0.09016442,2.911738,2.0128088,0.29863635,0.38191262,0.20578946,0.19709243,-30.695185,0.100000001,6,0,0,0,0
13,./voice\morry_bk\condition4\c11.wav,0 days,0 days 00:00:12,28.333672,0.38305575,22.005829,24.838364,28.001976,5.996147,531.77936,659.84766,115.120346,77.01878,0.44597277,0.9633383,0.11858344,0.29938814,0.6898544,0.57127094,8.618398,7.6835856,6.8442307,7.573138,0.258379,1.1965648,18.771767,1.1078583,6.994807,2.16196,13.249573,1.4951242,-4.3066545,-3.788708,0.037857603,1.8145522,1.5174968,0.7055881,2.1429877,2.3220794,5.327495,2.0464802,25.604103,0.7390108,607.47034,0.44073436,1159.201,0.2659886,-90.263374,-1.017434,1690.827,0.19631016,955.3783,0.3708239,-93.96958,-0.89656746,2739.1938,0.1334231,850.3103,0.45419484,-94.15182,-0.8853899,-13.954368,-1.1535364,22.668636,0.75576556,0.013595095,2.140295,-0.025928823,-0.791565,0.3851719,0.8110185,26.04488,0.86778414,12.046014,1.2997329,20.636309,1.034951,-8.289669,-2.154962,-3.645792,11.906727,-0.001672758,0.000645486,0.06668522,2.4186823,2.1775546,0.26884615,0.21874338,0.20857143,0.2643642,-30.412394,0.899999976,8,0,1,1,1
13,./voice\morry_bk\condition2\c04.wav,0 days,0 days 00:00:11,28.570263,0.40601617,21.681572,24.246468,28.320242,6.63867,888.85815,1135.9431,110.9243,94.86135,0.68886137,0.91832626,0.096992806,0.5002783,1.1933459,1.096353,13.072584,12.41825,12.172765,10.959808,0.42289385,1.0263559,21.465994,1.1536267,5.743023,2.4989896,21.143255,1.3875775,-2.666119,-7.013421,0.043020047,2.3115158,1.4422871,0.76671046,2.3533745,2.3403294,5.671493,1.7383168,22.019295,0.89185274,598.69885,0.48534212,1159.0471,0.27521676,-75.707466,-1.1460383,1731.5918,0.21151876,883.556,0.44096845,-78.70821,-1.020299,2742.609,0.13278769,946.1509,0.39048797,-78.54107,-1.0212022,-13.078616,-1.2526866,21.640251,0.83188385,0.011335528,3.801675,-0.030738672,-0.79987735,0.5748037,0.7242328,28.248594,0.8975462,7.6965504,2.0348847,30.720064,0.9755295,-5.6796455,-3.5996792,-3.719909,14.911855,-0.003398493,0.002847763,0.09598225,2.456779,2.010969,0.33363634,0.27022794,0.16473684,0.17300344,-26.278862,0.100000001,8,1,0,1,0
13,./voice\morry_bk\condition4\c03.wav,0 days,0 days 00:00:12,27.429039,0.34622592,22.21632,24.038792,29.298725,7.082405,800.5254,1287.9086,92.85708,94.31297,0.66622496,1.061209,0.08703335,0.44372973,1.0738959,0.9868626,15.848849,14.102592,9.087154,6.8368754,0.5572576,1.1386309,25.434683,0.935751,10.202934,1.6601912,16.523628,1.378621,-1.3789896,-11.794418,0.03623486,1.7788572,1.6315588,0.6992883,2.3238435,2.029052,3.7529793,2.863286,30.337538,0.65566766,608.2899,0.4735769,1197.2899,0.23518458,-70.31733,-1.2219737,1681.0176,0.20875868,963.4985,0.37803185,-77.80758,-1.0103754,2782.9275,0.12992507,918.17584,0.39965215,-81.174385,-0.94530475,-17.331488,-1.0126597,28.23155,0.64227885,0.019977806,1.9650928,-0.02723629,-0.78509825,0.7435031,0.8486202,32.617397,0.72343683,12.366016,1.479849,21.557106,1.1296554,-3.290096,-5.2233033,-7.16933,17.911558,-0.014948692,-0.000179943,0.12904333,2.4186823,1.7602683,0.38809523,0.27038983,0.16649999,0.17347261,-25.165493,0.5,4,0,1,1,-1
13,./voice\morry_bk\condition3\c08.wav,0 days,0 days 00:00:12,31.918907,0.44956434,21.723007,25.61667,51.73217,30.009163,745.6034,815.365,189.90517,222.9754,0.54531306,1.2568116,0.066442564,0.19264336,1.0529883,0.98654574,14.591674,11.510555,9.174943,6.329687,0.43460417,1.4704691,16.420105,1.5861742,5.5073237,2.7082098,9.564736,1.9566176,-2.3765848,-7.6352825,0.055534948,1.7357585,1.8713164,0.6200621,0.184166,32.67389,1.8089696,5.8226414,19.159306,1.4083055,694.8465,0.47436553,1177.3611,0.2834614,-115.262794,-0.80147195,1746.3596,0.24644147,988.8278,0.36975655,-113.854095,-0.76516515,2806.3877,0.13857086,958.8049,0.35301906,-113.96885,-0.7558967,-10.931401,-1.9738305,22.173326,1.0790095,0.002395194,16.048473,-0.028688565,-1.0122112,0.7582753,0.9150726,23.809511,1.4030938,11.610494,1.4124271,14.376267,1.5734032,-7.231097,-2.835216,-6.2865896,17.057606,-0.008335768,-0.001137035,0.12014992,2.5020852,2.17938,0.21807691,0.24417865,0.27190474,0.27086493,-25.307589,0.300000012,6,1,1,0,1
13,./voice\morry_bk\condition2\c09_00.wav,0 days,0 days 00:00:11,30.336939,0.42172116,22.207687,23.814167,47.639442,25.431755,721.3853,1088.0057,169.39133,215.63498,0.46239445,1.1739577,0.08422219,0.22326982,0.7620831,0.6778609,12.651631,11.038481,7.6291656,7.0619893,0.3198236,1.325297,18.602554,1.1413789,5.970883,2.4748611,14.066332,1.7493978,-3.7985067,-4.715961,0.040671043,1.5305356,1.6277442,0.64546674,1.8390929,2.7831874,4.361555,3.9843872,22.842443,0.977972,655.6962,0.43638158,1141.5852,0.26532313,-101.37238,-0.9258627,1794.1029,0.1946459,859.3402,0.5195516,-104.00072,-0.8244611,2818.9463,0.122841,903.6074,0.475234,-103.81936,-0.82796496,-13.209827,-1.3173299,23.49353,0.74434614,0.015018911,3.0595856,-0.024108835,-1.1536838,0.5217689,0.8235758,24.703028,1.0395418,10.024792,1.7413949,22.794788,1.2840612,-9.958386,-1.9548899,-7.3415685,17.289083,-0.006880291,-0.000692668,0.07262911,2.1838036,2.1023767,0.25173914,0.2763843,0.24473684,0.29322827,-29.91478,-0.300000012,4,1,0,1,-1
13,./voice\morry_bk\condition1\c13.wav,0 days,0 days 00:00:13,29.557522,0.40538183,22.01541,24.909092,30.292994,8.277584,1049.4246,1330.2214,97.96889,65.63144,0.6249131,0.9301016,0.11464885,0.42527643,1.0660769,0.95142806,11.165792,6.8921824,9.475754,6.6258802,0.42072707,1.107366,22.127502,1.0837833,2.7408895,6.7053537,13.411909,1.565877,-2.424917,-7.2832656,0.03045363,1.355261,1.66442,0.7147368,1.9439528,2.6353369,4.251427,3.426996,20.698423,1.095322,601.2252,0.46573088,1163.5868,0.2709508,-79.91273,-1.1120188,1625.826,0.22720867,1019.3754,0.386271,-80.65175,-1.0306853,2693.3645,0.14058183,925.9187,0.344667,-82.76606,-0.9887288,-12.022226,-1.4675832,22.085478,0.9146655,0.01695253,2.1750495,-0.028243037,-0.8641477,0.5704691,0.81576896,29.074196,0.87811387,5.026512,4.011811,18.960262,1.1821961,-5.0669627,-3.8614845,-2.374584,11.8398695,-0.004274919,0.000650186,0.13368882,2.6943803,2.1638331,0.2982143,0.32259056,0.17391303,0.15758334,-26.601263,-0.100000001,0,0,0,0,-1
13,./voice\morry_bk\condition2\c03_01.wav,0 days,0 days 00:00:11,28.000147,0.41150647,21.21791,23.134628,30.021633,8.803722,808.127,949.667,147.6773,124.86467,0.6780263,1.0064887,0.098538294,0.52201504,1.0162152,0.9176769,18.913662,15.616021,12.634093,8.889541,0.5215124,1.1381507,21.320055,1.0961449,4.9049983,3.2937732,23.092133,1.3550674,-2.554941,-7.5668626,0.045111697,1.8917404,1.616594,0.6395212,0.9529728,4.9138174,1.2238011,9.72642,18.156927,1.3156203,572.09357,0.4967908,1118.467,0.30581063,-76.86457,-1.1262683,1652.9634,0.21257386,814.63025,0.54954726,-78.96532,-1.0045805,2710.4214,0.12532659,959.36615,0.34656453,-77.96708,-1.0220169,-9.561164,-1.7244544,19.104115,1.0581571,0.008498742,4.687754,-0.02372021,-0.9455499,0.70617664,0.8514814,26.566183,0.9450012,7.0770497,2.5148926,31.991388,1.0517508,-4.871436,-4.231648,-4.779361,14.697587,-0.007149735,-0.000192064,0.12793195,2.8207462,1.8331805,0.37,0.28891176,0.191875,0.2397712,-26.839954,0.100000001,8,1,0,1,1
13,./voice\morry_bk\condition1\c11_00.wav,0 days,0 days 00:00:12,28.793215,0.3665376,22.32483,26.247597,29.402145,7.0773163,637.2584,1084.9082,179.53769,238.0896,0.48131272,1.0910119,0.1342709,0.25625536,0.78370583,0.6494349,8.977647,6.7503257,7.18317,5.705766,0.29741222,1.5146061,18.952244,1.1512853,6.6702433,2.227338,10.997265,1.7708077,-4.6311955,-3.6031678,0.024364278,1.6204772,1.3269573,0.80333275,3.1560729,1.7793167,6.691639,1.6511432,24.150906,0.7909868,614.5219,0.3618044,1170.8423,0.25345853,-104.933586,-0.86733145,1703.3999,0.21062645,966.172,0.49058726,-107.11022,-0.7831603,2776.852,0.13952805,836.9632,0.44791988,-105.91276,-0.79212797,-15.435644,-1.0605842,23.983818,0.80006903,0.01418932,2.3893895,-0.027829006,-0.8477176,0.47515795,1.0685078,28.39483,0.84274733,13.826592,1.0238688,19.272867,1.1445645,-8.734581,-2.1846056,-2.192565,9.751818,0.004455315,0.000159408,0.08451746,1.8348625,1.761745,0.30285713,0.26882714,0.2827778,0.44351882,-28.060947,0.300000012,8,0,0,0,0
13,./voice\morry_bk\condition4\c05.wav,0 days,0 days 00:00:13,30.098251,0.35589954,22.763296,26.987608,31.683292,8.919996,635.1728,1037.4835,119.31033,90.1302,0.673158,0.91298234,0.10442299,0.48033285,1.1172897,1.0128667,12.661319,8.613069,7.2412524,6.172229,0.49095088,1.0225699,24.128351,1.049461,7.9143734,2.1817632,13.528484,1.7575048,-4.2952456,-4.3890934,0.039364055,1.5773549,1.5896198,0.6945586,2.804888,1.8450063,4.204215,2.691049,26.357199,0.8242208,624.94604,0.4143657,1208.7883,0.25214255,-71.037186,-1.217878,1674.2667,0.19955839,943.7638,0.36357078,-75.980934,-1.030862,2759.3032,0.12744975,885.66644,0.3624011,-78.6161,-0.969214,-15.279987,-1.1175151,25.911465,0.7447008,0.029999403,1.4572008,-0.030721288,-0.8633087,0.6439321,0.77406883,31.472662,0.7822487,10.681706,1.6902981,16.840807,1.5593976,-8.113322,-2.4253166,-3.098074,12.557928,-0.00884304,0.000602155,0.1321965,3.0792918,2.4748647,0.275625,0.26556468,0.13115385,0.12692599,-25.872158,0.800000012,4,0,1,1,-1
13,./voice\morry_bk\condition1\c17_00.wav,0 days,0 days 00:00:11,29.854618,0.43026885,21.963846,24.759008,29.28,7.3161545,595.7326,1128.5795,82.84426,42.477104,0.613675,1.0253451,0.08917911,0.32449886,1.1555871,1.0664079,13.267837,9.327535,9.215652,8.584098,0.44640198,1.1952052,17.384108,1.3788176,5.781672,2.4324172,15.924995,1.5899986,-5.5974884,-3.4863763,0.04532518,1.5614746,1.9510479,0.5689421,1.0999434,4.128575,2.1967018,5.400345,17.288847,1.3548633,623.06824,0.58333796,1123.4786,0.24375407,-87.2626,-1.0588298,1712.0785,0.2521698,945.92737,0.45532358,-88.764854,-0.97917765,2714.0764,0.15373914,901.5818,0.46739638,-88.36764,-0.98198867,-9.895528,-1.8132423,18.976595,1.0431143,0.011562399,3.2371836,-0.02554455,-0.9645333,0.66932285,0.8148692,23.46574,1.1386979,8.490107,1.7889782,25.371845,1.0571665,-10.398327,-2.052581,-4.0361485,13.447027,-0.007552073,-0.001412856,0.08062661,2.6387625,1.9213176,0.3138095,0.24283007,0.20631579,0.22005288,-27.405811,-0.100000001,8,0,0,0,1
13,./voice\morry_bk\condition1\c09.wav,0 days,0 days 00:00:14,30.902086,0.42779508,22.41387,24.650383,33.044415,10.630545,797.8226,1069.2244,124.83621,61.923454,0.45188746,1.1361903,0.09725627,0.2209027,0.7273874,0.6301311,10.716668,8.990972,8.2250185,6.447539,0.30415052,1.4809742,17.744188,1.4080497,5.893744,2.4166737,10.733056,1.6095957,-0.4997512,-29.667427,0.032359857,1.1911755,1.5828768,0.67208487,2.3453238,2.2357402,4.8576894,2.5461116,23.46949,1.0143155,663.17505,0.52403355,1197.1951,0.28011024,-105.946465,-0.87772286,1710.8549,0.2450666,961.75214,0.4508538,-105.38986,-0.8314664,2795.3625,0.14805563,879.56506,0.40818748,-106.130775,-0.8093994,-12.500168,-1.5676659,22.934677,0.9335859,0.010544971,3.571865,-0.02599569,-0.98033804,0.505692,1.0018266,26.152126,1.1367968,12.224006,1.2490537,17.75687,1.111011,-3.1948318,-5.2695503,-3.742357,13.384138,-0.005752521,0.00041065,0.07471371,2.0014296,2.0086083,0.25857142,0.26658842,0.25416666,0.42328987,-28.770329,0.200000003,6,0,0,0,-1
13,./voice\morry_bk\condition1\c16.wav,0 days,0 days 00:00:12,28.404232,0.42037106,21.663855,23.557993,28.36352,6.699665,932.4034,1297.7412,139.08334,128.6856,0.6284742,1.0533545,0.11566901,0.42972684,0.9851678,0.8694988,12.242609,8.947004,6.9929,4.8501425,0.46360147,1.2959597,20.80087,1.1492414,4.536365,3.3120682,14.534588,1.6568977,-8.836903,-2.4546065,0.033920035,1.1872909,1.7249382,0.5877672,0.78672624,5.3998246,3.5312665,2.946282,20.380816,1.1228348,602.57825,0.5458064,1165.0114,0.2733351,-72.387634,-1.1877846,1649.6317,0.23840228,903.0417,0.41184962,-74.177284,-1.0824343,2694.4077,0.13779467,919.48663,0.49767622,-75.79554,-1.0392853,-9.712619,-1.7766869,19.17893,1.0128441,0.008619336,4.210528,-0.025161708,-0.8993352,0.6255815,1.0186327,25.112354,1.0564916,7.620347,2.1496923,19.86761,1.3223561,-13.497137,-1.6761891,-3.9971912,13.116793,-0.003776174,-6.67E-05,0.089112066,2.4186823,2.1775546,0.315,0.3010271,0.15238094,0.20747702,-27.860897,0.200000003,6,0,0,0,0
